,word,frequency
0,like,15
1,airport,11
2,much,10
3,time,9
4,quarantine,9
5,mask,9
6,day,9
7,back,9
8,taxi,8
9,get,8
10,feel,8
11,sit,7
12,seoul,7
13,point,7
14,little,7
15,korean,7
16,desk,7
17,check,7
18,would,6
19,temperature,6
20,suitcase,6
21,still,6
22,staff,6
23,kind,6
24,first,6
25,father,6
26,escorted,6
27,edinburgh,6
28,area,6
29,wait,5
30,vegan,5
31,two,5
32,test,5
33,process,5
34,one,5
35,officer,5
36,go,5
37,facility,5
38,even,5
39,english,5
40,behind,5
41,already,5
42,within,4
43,well,4
44,want,4
45,us,4
46,upon,4
47,taken,4
48,sure,4
49,somewhere,4
50,something,4
51,right,4
52,people,4
53,pass,4
54,negative,4
55,minutes,4
56,made,4
57,looking,4
58,life,4
59,korea,4
60,kg,4
61,incheon,4
62,headache,4
63,happy,4
64,group,4
65,going,4
66,food,4
67,exists,4
68,every,4
69,etc,4
70,around,4
71,areas,4
72,also,4
73,—,3
74,yoongi,3
75,woman,3
76,without,3
77,whatever,3
78,waiting,3
79,virus,3
80,uk,3
81,turns,3
82,turned,3
83,towards,3
84,told,3
85,times,3
86,think,3
87,things,3
88,telling,3
89,take,3
90,sticker,3
91,speaking,3
92,south,3
93,single,3
94,simply,3
95,sim,3
96,seeing,3
97,second,3
98,saying,3
99,safe,3
100,rest,3
101,quite,3
102,provided,3
103,phone,3
104,officers,3
105,next,3
106,new,3
107,morning,3
108,mine,3
109,might,3
110,lot,3
111,long,3
112,living,3
113,less,3
114,leave,3
115,least,3
116,know,3
117,immediately,3
118,image,3
119,hungry,3
120,heating,3
121,grateful,3
122,give,3
123,getting,3
124,gate,3
125,freezing,3
126,find,3
127,fact,3
128,especially,3
129,entire,3
130,england,3
131,due,3
132,different,3
133,despite,3
134,covid,3
135,community,3
136,cold,3
137,city,3
138,chair,3
139,bus,3
140,away,3
141,asks,3
142,approach,3
143,appreciation,3
144,apartment,3
145,another,3
146,allows,3
147,admits,3
148,actually,3
149,“so,2
150,’,2
151,you”,2
152,works,2
153,work,2
154,wo,2
155,wild,2
156,whole,2
157,whilst,2
158,water,2
159,warm,2
160,visit,2
161,vision,2
162,unpacking,2
163,tour,2
164,took,2
165,tokyo,2
166,three,2
167,thoughts,2
168,though,2
169,thing,2
170,tag,2
171,strongly,2
172,strangers,2
173,spoken,2
174,spoke,2
175,spite,2
176,specific,2
177,special,2
178,someone,2
179,sky,2
180,side,2
181,shortsighted,2
182,several,2
183,seokjinnie,2
184,selfquarantine,2
185,selfie,2
186,see,2
187,scotland,2
188,say,2
189,sanitising,2
190,safety,2
191,row,2
192,risk,2
193,results,2
194,rejuvenating,2
195,red,2
196,reassuring,2
197,really,2
198,readymade,2
199,raphael,2
200,queue,2
201,question,2
202,putting,2
203,proceed,2
204,prior,2
205,pretty,2
206,pressurised,2
207,ppe,2
208,possessions,2
209,polishing,2
210,pointing,2
211,plastic,2
212,plane,2
213,place,2
214,pcr,2
215,partially,2
216,parking,2
217,paperwork,2
218,panic,2
219,outside,2
220,opted,2
221,opened,2
222,open,2
223,onto,2
224,oddly,2
225,nothing,2
226,night,2
227,never,2
228,need,2
229,months,2
230,min,2
231,members,2
232,member,2
233,measures,2
234,meal,2
235,man,2
236,makes,2
237,luggage,2
238,lie,2
239,leaving,2
240,laugh,2
241,last,2
242,language,2
243,lady,2
244,lads,2
245,kf,2
246,kept,2
247,journey,2
248,itaewon,2
249,install,2
250,inside,2
251,individually,2
252,including,2
253,human,2
254,home,2
255,hearing,2
256,health,2
257,harder,2
258,goes,2
259,glasses,2
260,girl,2
261,gets,2
262,friend,2
263,fresh,2
264,forever,2
265,flight,2
266,flew,2
267,feeling,2
268,far,2
269,eyes,2
270,experiences,2
271,experience,2
272,escorting,2
273,enjoy,2
274,early,2
275,earlier,2
276,driver,2
277,definitely,2
278,cubicles,2
279,cubicle,2
280,countryside,2
281,could,2
282,completely,2
283,come,2
284,collect,2
285,changed,2
286,catching,2
287,carry,2
288,card,2
289,came,2
290,calls,2
291,build,2
292,breath,2
293,borders,2
294,beyond,2
295,barrier,2
296,bad,2
297,backpack,2
298,arriving,2
299,arrives,2
300,arrive,2
301,arm,2
302,amsterdam,2
303,able,2
